accession,species,description,source_type,plasmid_name,replicon_types,mge_elements,country,percent_identity,query_coverage,alignment_length,mismatches,gaps,evalue,bit_score,hit_length,subject_start,subject_end,geographic_origin,host_organism,collection_date,isolation_source_detail
AP018674,Klebsiella pneumoniae,"Klebsiella pneumoniae GSU10-3 plasmid pGSU10-3-3 DNA, complete genome",Plasmid,pGSU10-3-3,Not specified,Not specified,Not specified,100.0,91.2,9201,0,0,0.0,16992.1,66250,20100,29300,Japan,Not specified,2017-08,wastewater treatment plant effluent
CP092807,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-C-024.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.29,92.51,9349,66,17,0.0,16962.6,5675175,17959,27306,Sudan,Homo sapiens,2021-09-03,Not specified
CP092801,Klebsiella pneumoniae,Klebsiella pneumoniae strain 14spc chromosome,Chromosome,,Not specified,Not specified,Not specified,99.06,92.51,9389,88,56,0.0,16851.8,5747427,18053,27441,Sudan,hono sapiens,2021-08-03,Not specified
CP129870,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2020S09-111 plasmid p2020S09-111-94k, complete sequence",Plasmid,p2020S09-111-94k,Not specified,Not specified,Not specified,99.99,90.45,9125,1,0,0.0,16846.3,94877,83270,92394,Taiwan,Homo sapiens,2020,Not specified
CP092695,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-N-036.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,98.97,92.37,9332,96,15,0.0,16831.5,5678493,17979,27308,Sudan,Homo sapiens,2021-07-25,Not specified
CP092917,Klebsiella pneumoniae,Klebsiella pneumoniae strain 12spc chromosome,Chromosome,,Not specified,Not specified,Not specified,98.98,92.51,9374,96,41,0.0,16825.9,5772140,18014,27387,Sudan,Homo sapiens,2021-05-16,Not specified
CP092805,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-C-013.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,98.35,92.51,9394,155,61,0.0,16569.3,5736610,18052,27445,Sudan,Homo sapiens,2021-05-20,Not specified
CP092809,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-N-031.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,98.46,92.49,9344,144,20,0.0,16521.2,5697977,5488746,5498082,Sudan,Homo sapiens,2021-06-17,Not specified
CP092813,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-C-016.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.55,88.62,8948,40,8,0.0,16329.2,5702698,18039,26985,Sudan,Homo sapiens,2021-08-16,Not specified
CP092806,Klebsiella pneumoniae,Klebsiella pneumoniae strain S-P-C-007.01 chromosome,Chromosome,,Not specified,Not specified,Not specified,97.75,92.51,9443,212,110,0.0,16325.5,5757953,18096,27538,Sudan,Homo sapiens,2021-04-14,Not specified
CP177024,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRhvKp1645 plasmid pCRhvKp1653, complete sequence",Plasmid,pCRhvKp1653,Not specified,Not specified,Not specified,99.99,87.52,8830,1,0,0.0,16301.5,105406,8830,1,Taiwan,Homo sapiens,2014,urine
MT108206,Klebsiella pneumoniae,"Klebsiella pneumoniae strain A1743 plasmid pA1743-KPC, complete sequence",Plasmid,pA1743-KPC,Not specified,Not specified,Not specified,99.99,87.26,8804,1,0,0.0,16253.5,86625,56952,65755,China,Not specified,Not specified,Zhejiang
CP185005,Klebsiella pneumoniae,"Klebsiella pneumoniae strain AMC20-1A plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.99,87.01,8779,1,1,0.0,16205.5,121551,8779,1,South Korea,Homo sapiens,2016-08-18,blood
CP025463,Klebsiella pneumoniae,"Klebsiella pneumoniae strain F44 plasmid p44-2, complete sequence",Plasmid,p44-2,Not specified,Not specified,Not specified,100.0,86.7,8747,0,0,0.0,16153.8,161580,54204,62950,China,Homo sapiens,2016-04-18,Not specified
CP167334,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0829 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,99.99,86.7,8747,1,1,0.0,16146.4,62620,32942,24197,China,Homo sapiens,2016,Not specified
CP199995,Klebsiella pneumoniae,Klebsiella pneumoniae strain Kpn1 chromosome,Chromosome,,Not specified,Not specified,Not specified,99.99,86.26,8703,1,0,0.0,16067.0,5763230,5413302,5404600,China,Homo sapiens,2023-01,urine
LR736024,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp_16633 genome assembly, chromosome: 1",Chromosome,,Not specified,Not specified,Not specified,100.0,86.07,8684,0,0,0.0,16037.4,5652578,5484321,5493004,Not specified,Not specified,Not specified,blood
LR736023,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp_16618 genome assembly, chromosome: 1",Chromosome,,Not specified,Not specified,Not specified,100.0,86.07,8684,0,0,0.0,16037.4,5634920,5488854,5497537,Not specified,Not specified,Not specified,blood
LR736026,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp_25213 genome assembly, chromosome: 1",Chromosome,,Not specified,Not specified,Not specified,100.0,86.04,8681,0,0,0.0,16031.9,5600586,5466984,5475664,Not specified,Not specified,Not specified,blood
CP101569,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain KP29 plasmid p29_2, complete sequence",Plasmid,p29_2,Not specified,Not specified,Not specified,100.0,85.86,8662,0,0,0.0,15996.8,138059,53194,44533,China,Homo sapiens,2013-04,secretions
MN891683,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 314013 plasmid p314013-KPC, complete sequence",Plasmid,p314013-KPC,Not specified,Not specified,Not specified,99.99,85.83,8659,1,0,0.0,15985.7,119921,108736,117394,China,Not specified,Not specified,Ningbo
CP100122,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GZKP13 plasmid pGZKP13-2, complete sequence",Plasmid,pGZKP13-2,Not specified,Not specified,Not specified,100.0,85.55,8631,0,0,0.0,15939.6,56210,6123,14753,China,Homo sapiens,2018,urine
MT840285,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 8 plasmid pBJYY8-2KPC, complete sequence",Plasmid,pBJYY8-2KPC,Not specified,Not specified,Not specified,99.86,85.55,8631,12,8,0.0,15865.7,92241,16582,25204,China,Not specified,Not specified,Not specified
CP129698,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2016N17-469 plasmid p2016N17-469-105k, complete sequence",Plasmid,p2016N17-469-105k,Not specified,Not specified,Not specified,100.0,85.02,8578,0,0,0.0,15841.7,105092,1,8578,Taiwan,Homo sapiens,2016,Not specified
CP006657,Klebsiella pneumoniae,"Klebsiella pneumoniae JM45 plasmid p1, complete sequence",Plasmid,p1,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,317154,114329,122907,Not specified,Homo sapiens,07-Apr-2010,72-year-old male with cerebral infarction after colon carcinoma resection
CP139684,Klebsiella pneumoniae,"Klebsiella pneumoniae strain P6 plasmid p6P3, complete sequence",Plasmid,p6P3,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,42848,14992,6417,China,Homo sapiens,2018-02-05,hospital
CP189869,Citrobacter portucalensis,"Citrobacter portucalensis strain ST252 plasmid pJH112-3KPC, complete sequence",Plasmid,pJH112-3KPC,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,110729,34570,25995,China,Homo sapiens,2023-09-03,blood
CP136729,Citrobacter braakii,"Citrobacter braakii strain F217 plasmid pF217-KPC_86k, complete sequence",Plasmid,pF217-KPC_86k,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,86404,3296,11874,China,Homo sapiens,Not specified,Not specified
CP163257,Klebsiella pasteurii,"Klebsiella pasteurii strain strain K1134 plasmid pK1134-KPC, complete sequence",Plasmid,pK1134-KPC,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,137213,32085,23510,China,Homo sapiens,2020,sputum
PP083690,Serratia marcescens,"Serratia marcescens strain SM11 plasmid pKPC-SM11, complete sequence",Plasmid,pKPC-SM11,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,42848,5981,14559,China,Not specified,Not specified,Clinical specimen
CP096922,Citrobacter freundii,"Citrobacter freundii strain NY2385 plasmid pNY2385-IMP, complete sequence",Plasmid,pNY2385-IMP,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,62214,27526,36104,China,Homo sapiens,2014,Not specified
CP090391,Klebsiella pneumoniae,"Klebsiella pneumoniae strain YZH22127 plasmid pYUYZH22127-2, complete sequence",Plasmid,pYUYZH22127-2,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,171602,19629,11054,China,Homo sapiens,2020-10-22,sputum
CP119438,Klebsiella michiganensis,"Klebsiella michiganensis strain K689 plasmid pK689-KPC, complete sequence",Plasmid,pK689-KPC,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,87421,45617,54195,China,Homo sapiens,2021,blood
CP145918,Providencia huaxiensis,"Providencia huaxiensis strain Z7CR1848 plasmid pZ7CR1848_KPC-2, complete sequence",Plasmid,pZ7CR1848_KPC-2,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,42848,5981,14559,China,Homo sapiens,Not specified,Not specified
KF826291,Escherichia coli,"Escherichia coli strain HS111288 plasmid pHS111288, partial sequence",Plasmid,pHS111288,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,14757,10916,2341,China,Not specified,13-Jun-2011,sputum
FJ628167,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP048 plasmid pKP048, complete sequence",Plasmid,pKP048,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,151188,22298,13723,Not specified,Not specified,Not specified,Not specified
CP149976,Morganella morganii,"Morganella morganii strain MM4205 plasmid pMM4205-KPC-2_59k, complete sequence",Plasmid,pMM4205-KPC-2_59k,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,58972,9331,756,China,Homo sapiens,2016-11-09,sputum
CP087707,Klebsiella pneumoniae,"Klebsiella pneumoniae strain YZH2487 plasmid pYUYZH2487-1, complete sequence",Plasmid,pYUYZH2487-1,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,217602,78994,87572,China,Homo sapiens,2020-10-24,sputum
CP136726,Citrobacter braakii,"Citrobacter braakii strain F217 plasmid pF217-KPC_28k, complete sequence",Plasmid,pF217-KPC_28k,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,28937,6000,14578,China,Homo sapiens,Not specified,Not specified
KF623109,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HS062105 plasmid pHS062105-3, complete sequence",Plasmid,pHS062105-3,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,42848,39550,30975,China,Homo sapiens,28-Aug-2006,urine
CP090395,Klebsiella pneumoniae,"Klebsiella pneumoniae strain YZH2429 plasmid pYUYZH2429-2, complete sequence",Plasmid,pYUYZH2429-2,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,171626,19629,11054,China,Homo sapiens,2020-10-24,sputum
CP186043,Citrobacter freundii,"Citrobacter freundii strain T1001 plasmid pT1001-KPC, complete sequence",Plasmid,pT1001-KPC,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,45707,8841,17419,China,Homo sapiens,2022,urine specimen
KF826292,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain HS10505 plasmid pHS10505, partial sequence",Plasmid,pHS10505,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,15464,11302,2727,China,Not specified,13-Mar-2010,sputum
CP114573,Enterobacter hormaechei,"Enterobacter hormaechei strain E1532 plasmid pE1532-KPC, complete sequence",Plasmid,pE1532-KPC,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,39461,28634,20059,China,Not specified,2015,Henan
CP126883,Citrobacter freundii,"Citrobacter freundii strain NY2385 plasmid pNY2385-KPC, complete sequence",Plasmid,pNY2385-KPC,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,42848,5981,14559,China,Homo sapiens,2014,Not specified
CP110896,Citrobacter freundii,"Citrobacter freundii strain CF1807 plasmid pCF1807-3, complete sequence",Plasmid,pCF1807-3,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,106844,72366,63791,China,Homo sapiens,2018-07-17,urine
MN891676,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 24169 plasmid p24169-KPC, complete sequence",Plasmid,p24169-KPC,Not specified,Not specified,Not specified,99.99,85.03,8579,1,0,0.0,15838.0,69297,59313,67891,China,Not specified,Not specified,Wenzhou
KY296104,Enterobacter cloacae,"Enterobacter cloacae strain 13E169 plasmid pHN84KPC, complete sequence",Plasmid,pHN84KPC,Not specified,Not specified,Not specified,100.0,85.0,8576,0,0,0.0,15838.0,39367,32752,24177,China,Not specified,Not specified,Not specified
CP082176,Raoultella planticola,"Raoultella planticola strain SCLZS62 plasmid p8_SCLZS62, complete sequence",Plasmid,p8_SCLZS62,Not specified,Not specified,Not specified,99.98,85.03,8579,2,0,0.0,15832.4,42847,5981,14559,China,Not specified,2019-11,wastewater
CP110358,Enterobacter hormaechei,"Enterobacter hormaechei strain ECC2783 plasmid pECC2783_d, complete sequence",Plasmid,pECC2783_d,Not specified,Not specified,Not specified,99.98,85.03,8579,2,0,0.0,15832.4,42848,5981,14559,China,Homo sapiens,2017-09-30,blood
CP130660,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain SM117 plasmid pSM117_KPC, complete sequence",Plasmid,pSM117_KPC,Not specified,Not specified,Not specified,99.99,85.0,8576,1,1,0.0,15830.6,45135,45135,36561,China,Homo sapiens,2023-01-19,sputum
MT066418,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ST11 plasmid p158590-KPC, complete sequence",Plasmid,p158590-KPC,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,138959,56207,64740,China,Homo sapiens,2018-02-05,blood
CP036306,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 020098 plasmid pKPC2_020098, complete sequence",Plasmid,pKPC2_020098,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,149519,18914,27447,China,Homo sapiens,2017-02-28,Not specified
MF993441,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 11420 plasmid p11420-KPC, complete sequence",Plasmid,p11420-KPC,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,81180,71513,62980,Not specified,Not specified,Not specified,Not specified
CP038003,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SCKP020009 plasmid pKPC2_020009, complete sequence",Plasmid,pKPC2_020009,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,149518,18914,27447,China,Homo sapiens,2016-09-30,Not specified
MK036886,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 283149 plasmid p283149-KPC, complete sequence",Plasmid,p283149-KPC,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,136186,92946,84413,China,Not specified,Not specified,Not specified
MT269845,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI069 plasmid pBSI069-KPC2,Plasmid,pBSI069-KPC2,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,138950,105295,113828,China,Homo sapiens,2018,blood
CP058228,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPCZA02 plasmid pKPCZA02_2, complete sequence",Plasmid,pKPCZA02_2,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,149200,18882,27415,China,Homo sapiens,02-Jun-2015,Not specified
MT269820,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI010 plasmid pBSI010-KPC2,Plasmid,pBSI010-KPC2,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,146268,112611,121144,China,Homo sapiens,2015,blood
MT269821,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI011 plasmid pBSI011-KPC2,Plasmid,pBSI011-KPC2,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,92603,19592,11059,China,Homo sapiens,2015,blood
MT810354,Klebsiella pneumoniae,"Klebsiella pneumoniae strain A1708 plasmid pA1708-KPC, complete sequence",Plasmid,pA1708-KPC,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,173280,91756,83223,China,Not specified,Not specified,Hefei
MT269834,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI062 plasmid pBSI062-KPC2,Plasmid,pBSI062-KPC2,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,142890,112622,121155,China,Homo sapiens,2017,blood
CP097655,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IR1272_1 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,106759,18288,26821,China,Homo sapiens,2022-01-19,Not specified
CP066529,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WCHKP090361 plasmid pKPC2_090361, complete sequence",Plasmid,pKPC2_090361,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,144228,18906,27439,China,Homo sapiens,19-Jun-2019,rectal swab
MT109193,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 156070 plasmid p156070-KPC, complete sequence",Plasmid,p156070-KPC,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,138959,134328,125795,China,Homo sapiens,04-Jan-2018,Not specified
MT269827,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI032 plasmid pBSI032-KPC2,Plasmid,pBSI032-KPC2,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,132173,114121,122654,China,Homo sapiens,2017,blood
MG764553,Klebsiella pneumoniae,"Klebsiella pneumoniae strain A3295 plasmid pA3295-KPC, complete sequence",Plasmid,pA3295-KPC,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,153274,76942,68409,China,Not specified,Not specified,Not specified
MF918372,Klebsiella pneumoniae,"Klebsiella pneumoniae plasmid p1512-KPC, complete sequence",Plasmid,p1512-KPC,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,117697,66645,75178,Not specified,Not specified,Not specified,Not specified
MT810365,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 16 plasmid pBJYY16-KPC, complete sequence",Plasmid,pBJYY16-KPC,Not specified,Not specified,Not specified,100.0,84.59,8534,0,0,0.0,15760.4,112814,18874,27407,China,Not specified,Not specified,Beijing
CP085890,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 8695 plasmid pFK8695-KPC-33, complete sequence",Plasmid,pFK8695-KPC-33,Not specified,Not specified,Not specified,99.99,84.42,8517,1,0,0.0,15723.5,143980,1,8517,China,Homo sapiens,2020,Not specified
CP098449,Proteus mirabilis,"Proteus mirabilis strain PM46 plasmid pPM46-KPC_24k, complete sequence",Plasmid,pPM46-KPC_24k,Not specified,Not specified,Not specified,100.0,84.33,8508,0,0,0.0,15712.4,24225,3105,11612,China,Homo sapiens,2021,no
CP098452,Proteus mirabilis,"Proteus mirabilis strain FZP3115 plasmid pKPC_FZP3115, complete sequence",Plasmid,pKPC_FZP3115,Not specified,Not specified,Not specified,100.0,84.33,8508,0,0,0.0,15712.4,24225,3105,11612,China,Homo sapiens,2021,no
CP137222,Proteus mirabilis,"Proteus mirabilis strain PM35 plasmid pPM35-KPC_24k, complete sequence",Plasmid,pPM35-KPC_24k,Not specified,Not specified,Not specified,100.0,84.33,8508,0,0,0.0,15712.4,24225,3105,11612,China,Homo sapiens,2022-10-22,sputum
CP031847,Proteus mirabilis,"Proteus mirabilis strain XH983 plasmid pXH983, complete sequence",Plasmid,pXH983,Not specified,Not specified,Not specified,100.0,84.33,8508,0,0,0.0,15712.4,24225,16264,7757,China,Homo sapiens,2014-12-10,blood
CP017083,Proteus mirabilis,"Proteus mirabilis strain T21 plasmid pT211, complete sequence",Plasmid,pT211,Not specified,Not specified,Not specified,100.0,84.33,8508,0,0,0.0,15712.4,24225,4376,12883,China,Homo sapiens,2013,sputum
OR095743,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 17ZR-21 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,84.33,8508,0,0,0.0,15712.4,157680,76306,67799,China,Not specified,Not specified,hospital
CP136434,Proteus mirabilis,"Proteus mirabilis strain PM38 plasmid pPM38-KPC_25k, complete sequence",Plasmid,pPM38-KPC_25k,Not specified,Not specified,Not specified,100.0,84.33,8508,0,0,0.0,15712.4,25002,3105,11612,China,Homo sapiens,2017-01-03,urine
CP169534,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp 8536 plasmid p8536-2, complete sequence",Plasmid,p8536-2,Not specified,Not specified,Not specified,99.99,83.97,8472,1,0,0.0,15640.4,135746,78334,69863,China,Homo sapiens,2019-06-30,blood isolate
CP160200,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP12 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,83.94,8469,0,0,0.0,15640.4,118468,63573,72041,China,Homo sapiens,2022-06,Not specified
CP091782,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kpn180 plasmid p180CTX-M-15, complete sequence",Plasmid,p180CTX-M-15,Not specified,Not specified,Not specified,99.96,83.29,8403,3,0,0.0,15501.9,119234,72067,63665,China,Homo sapiens,2018-01-01,Not specified
CP066518,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WCHKP090329 plasmid pKPC2_090329, complete sequence",Plasmid,pKPC2_090329,Not specified,Not specified,Not specified,100.0,82.96,8370,0,0,0.0,15457.6,149181,18906,27275,China,Homo sapiens,18-Jun-2019,oral swab
MF168406,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 283747 plasmid p283747-KPC, complete sequence",Plasmid,p283747-KPC,Not specified,Not specified,Not specified,100.0,82.9,8364,0,0,0.0,15446.5,148021,71666,63303,China,Not specified,Not specified,Not specified
CP030301,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 283747 plasmid p283747-1, complete sequence",Plasmid,p283747-1,Not specified,Not specified,Not specified,100.0,82.9,8364,0,0,0.0,15446.5,148021,41052,49415,China,Homo sapiens,2015,Physical
KY081419,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP9 resolvase (tnpR), putative transposase (tnpA), KPC-2 beta-lactamase (blaKPC-2), and transposase (tnpA) genes, complete cds",Chromosome,,Not specified,Not specified,Not specified,100.0,82.41,8314,0,0,0.0,15354.2,8543,8314,1,China,Not specified,Not specified,sputum
CP065557,Klebsiella pneumoniae,"Klebsiella pneumoniae strain FK 6768 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,99.8,82.55,8345,17,17,0.0,15300.6,73746,1243,9587,China,Homo sapiens,23-May-2019,feces
CP059890,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain KP18069 plasmid pKP18069-KPC, complete sequence",Plasmid,pKP18069-KPC,Not specified,Not specified,Not specified,100.0,81.85,8258,0,0,0.0,15250.8,95050,86793,95050,Not specified,Not specified,Not specified,Not specified
ON111448,Klebsiella pneumoniae,"Klebsiella pneumoniae strain C6770 plasmid unnamed, complete sequence",Plasmid,unnamed,Not specified,Not specified,Not specified,100.0,81.71,8244,0,0,0.0,15224.9,184378,145867,154110,China,Not specified,22-Jun-2019,urine
CP133348,Enterobacter asburiae,Enterobacter asburiae strain CRECL419 plasmid pB-CRECL419,Plasmid,pB-CRECL419,Not specified,Not specified,Not specified,99.98,81.46,8218,2,0,0.0,15165.8,32474,6019,14236,Not specified,Not specified,2022-03-24,hospital sample
CP146853,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP4WSM plasmid pKP4WSM-KPC, complete sequence",Plasmid,pKP4WSM-KPC,Not specified,Not specified,Not specified,99.99,80.0,8071,1,1,0.0,14898.0,138889,119175,111106,China,Not specified,2023-10-01,clinical
MT810356,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 246421 plasmid p246421-KPC, complete sequence",Plasmid,p246421-KPC,Not specified,Not specified,Not specified,99.99,80.0,8071,1,1,0.0,14898.0,145209,88032,79963,China,Not specified,Not specified,Taizhou
CP077997,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain SRRSH1521 chromosome, complete genome",Chromosome/Genome,,Not specified,Not specified,Not specified,98.34,81.99,8273,137,2,0.0,14517.6,6594602,6258554,6266825,China,Homo sapiens,2018-08-28,Not specified
CP064392,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain SRRSH15 chromosome, complete genome",Chromosome/Genome,,Not specified,Not specified,Not specified,98.34,81.99,8273,137,2,0.0,14517.6,6679909,6343861,6352132,China,Homo sapiens,2018-01-08,Not specified
CP077978,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain ZPPH29 plasmid pZPPH29-KPC, complete sequence",Plasmid,pZPPH29-KPC,Not specified,Not specified,Not specified,98.34,81.99,8273,137,2,0.0,14517.6,397554,170504,178775,China,Homo sapiens,2017-04-27,Not specified
CP077986,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain ZPPH2 plasmid pZPPH2-KPC, complete sequence",Plasmid,pZPPH2-KPC,Not specified,Not specified,Not specified,98.34,81.99,8273,137,2,0.0,14517.6,52415,11627,3356,China,Homo sapiens,2017-06-03,Not specified
CP064404,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain WTJH12 plasmid pWTJH12-KPC, complete sequence",Plasmid,pWTJH12-KPC,Not specified,Not specified,Not specified,98.34,81.99,8273,137,2,0.0,14517.6,396963,170504,178775,China,Homo sapiens,2018-02-09,Not specified
CP077990,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain ZPPH1 plasmid pZPPH1-KPC, complete sequence",Plasmid,pZPPH1-KPC,Not specified,Not specified,Not specified,98.34,81.99,8273,137,2,0.0,14517.6,52415,11627,3356,China,Homo sapiens,2017-07-05,Not specified
CP137894,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain R11-08 plasmid pR11-08, complete sequence",Plasmid,pR11-08,Not specified,Not specified,Not specified,98.34,81.99,8273,137,2,0.0,14517.6,395022,111901,103630,China,Homo sapiens,Not specified,Not specified
